,Dc_Dist,Psa,Dispatch_Date_Time,Dispatch_Date,Dispatch_Time,Hour,Dc_Key,Location_Block,UCR_General,Text_General_Code,Police_Districts,Month,Lon,Lat,Year_Nr,Month_Nr,Day_Nr,Close to Campus,Closest College
825563,35,1,2015-01-01 05:15:00,2015-01-01,05:15:00,5,201535000101,5800 BLOCK N PHILIP ST,100.0,Homicide - Criminal,20,2015-01,-75.125043,40.039085,2015,1,1,No,
558371,17,2,2015-01-01 11:24:00,2015-01-01,11:24:00,11,201517000057,1300 BLOCK S NEWKIRK ST,400.0,Aggravated Assault Firearm,13,2015-01,-75.191085,39.937129,2015,1,1,No,
1908193,12,3,2015-01-01 13:42:00,2015-01-01,13:42:00,13,201512000146,6600 BLOCK DICKS AVE,400.0,Aggravated Assault Firearm,9,2015-01,-75.22952,39.918399,2015,1,1,No,
1678915,3,3,2015-01-01 13:44:00,2015-01-01,13:44:00,13,201503000129,1100 BLOCK S 11TH ST,1500.0,Weapon Violations,3,2015-01,-75.161462,39.937126,2015,1,1,No,
425859,8,3,2015-01-01 14:07:00,2015-01-01,14:07:00,14,201508000071,BRANDON RD / CORRY RD,300.0,Robbery Firearm,7,2015-01,-74.983209,40.092685,2015,1,1,No,
1583620,1,1,2015-01-01 15:55:00,2015-01-01,15:55:00,15,201501000060,2800 BLOCK CANTRELL ST,400.0,Aggravated Assault Firearm,1,2015-01,-75.193239,39.926881,2015,1,1,No,
1946274,12,3,2015-01-01 16:37:00,2015-01-01,16:37:00,16,201512000172,5800 BLOCK WOODLAND AVE,300.0,Robbery Firearm,9,2015-01,-75.22512,39.931996,2015,1,1,No,
457742,16,2,2015-01-01 18:00:00,2015-01-01,18:00:00,18,201516000116,4500 BLOCK LANCASTER AVE,300.0,Robbery Firearm,12,2015-01,-75.21385,39.97022,2015,1,1,No,
211260,35,3,2015-01-01 21:01:00,2015-01-01,21:01:00,21,201535000245,5300 BLOCK N 15TH ST,300.0,Robbery Firearm,20,2015-01,-75.14719,40.035277,2015,1,1,No,
841355,2,1,2015-01-01 21:14:00,2015-01-01,21:14:00,21,201502000183,6100 BLOCK CASTOR AVE,1500.0,Weapon Violations,2,2015-01,-75.080748,40.035907,2015,1,1,No,
202191,35,1,2015-01-01 21:31:00,2015-01-01,21:31:00,21,201535000248,1300 BLOCK W GRANGE AVE,300.0,Robbery Firearm,20,2015-01,-75.142028,40.041114,2015,1,1,No,
1367436,1,1,2015-01-01 23:46:00,2015-01-01,23:46:00,23,201501000081,2800 BLOCK CANTRELL ST,300.0,Robbery Firearm,1,2015-01,-75.193565,39.926926,2015,1,1,No,
218857,39,2,2015-01-01 23:59:00,2015-01-01,23:59:00,0,201539000242,1700 BLOCK W ONTARIO ST,300.0,Robbery Firearm,21,2015-01,-75.157445,40.005311,2015,1,1,No,
2055185,22,2,2015-01-02 02:22:00,2015-01-02,02:22:00,2,201522000320,2400 BLOCK N HOLLYWOOD ST,300.0,Robbery Firearm,16,2015-01,-75.17993,39.993914,2015,1,2,No,
2055196,22,4,2015-01-02 03:07:00,2015-01-02,03:07:00,3,201522000322,N 24TH ST / NICHOLAS ST,300.0,Robbery Firearm,16,2015-01,-75.174204,39.980287,2015,1,2,No,
800798,25,3,2015-01-02 04:35:00,2015-01-02,04:35:00,4,201525000306,3200 BLOCK D ST,300.0,Robbery Firearm,18,2015-01,-75.120886,39.999081,2015,1,2,No,
1200022,14,2,2015-01-02 05:42:00,2015-01-02,05:42:00,5,201514000262,100 BLOCK HERMAN ST,300.0,Robbery Firearm,10,2015-01,-75.175617,40.04441,2015,1,2,No,
212289,2,1,2015-01-02 06:11:00,2015-01-02,06:11:00,6,201502000225,6500 BLOCK CASTOR AVE,1500.0,Weapon Violations,2,2015-01,-75.076272,40.040732,2015,1,2,No,
1417027,25,4,2015-01-02 13:38:00,2015-01-02,13:38:00,13,201525000379,2800 BLOCK N FAIRHILL ST,400.0,Aggravated Assault Firearm,18,2015-01,-75.141214,39.993894,2015,1,2,No,
212478,15,1,2015-01-02 14:39:00,2015-01-02,14:39:00,14,201515000473,4600 BLOCK TRENTON AVE,1500.0,Weapon Violations,11,2015-01,-75.077481,40.009017,2015,1,2,No,
1462953,39,1,2015-01-02 15:29:00,2015-01-02,15:29:00,15,201539000351,4900 BLOCK KEYSER ST,400.0,Aggravated Assault Firearm,21,2015-01,-75.165658,40.02533,2015,1,2,No,
328508,18,2,2015-01-02 15:40:00,2015-01-02,15:40:00,15,201518000345,0 BLOCK S 52ND ST,1500.0,Weapon Violations,14,2015-01,-75.224974,39.959782,2015,1,2,No,
301681,19,1,2015-01-02 15:52:00,2015-01-02,15:52:00,15,201519000452,7500 BLOCK HAVERFORD AVE,300.0,Robbery Firearm,15,2015-01,-75.269085,39.97987,2015,1,2,No,
1587057,2,3,2015-01-02 18:09:00,2015-01-02,18:09:00,18,201502000315,7600 BLOCK E ROOSEVELT BLVD,400.0,Aggravated Assault Firearm,2,2015-01,-75.051546,40.050521,2015,1,2,No,
385374,39,2,2015-01-02 20:24:00,2015-01-02,20:24:00,20,201539000432,1800 BLOCK W BUTLER ST,1500.0,Weapon Violations,21,2015-01,-75.157302,40.011633,2015,1,2,No,
425881,12,2,2015-01-02 20:41:00,2015-01-02,20:41:00,20,201512000421,2100 BLOCK S 72ND ST,300.0,Robbery Firearm,9,2015-01,-75.245627,39.919582,2015,1,2,No,
192377,26,1,2015-01-02 20:42:00,2015-01-02,20:42:00,20,201526000340,2600 BLOCK N ORKNEY ST,300.0,Robbery Firearm,19,2015-01,-75.140116,39.99049,2015,1,2,No,
1906302,8,2,2015-01-02 21:06:00,2015-01-02,21:06:00,21,201508000233,3700 BLOCK MORRELL AVE,400.0,Aggravated Assault Firearm,7,2015-01,-74.987631,40.065645,2015,1,2,No,
1462964,39,2,2015-01-02 21:12:00,2015-01-02,21:12:00,21,201539000463,4200 BLOCK N SYDENHAM ST,400.0,Aggravated Assault Firearm,21,2015-01,-75.151909,40.018806,2015,1,2,No,
1251900,15,2,2015-01-02 21:29:00,2015-01-02,21:29:00,21,201515000632,6500 BLOCK E ROOSEVELT BLVD,300.0,Robbery Firearm,11,2015-01,-75.067682,40.03537,2015,1,2,No,
1493969,15,2,2015-01-02 22:23:00,2015-01-02,22:23:00,22,201515000624,2700 BLOCK LEVICK ST,1500.0,Weapon Violations,11,2015-01,-75.066472,40.033408,2015,1,2,No,
117231,25,2,2015-01-02 22:43:00,2015-01-02,22:43:00,22,201525000535,300 BLOCK E WYOMING AVE,300.0,Robbery Firearm,18,2015-01,-75.118666,40.020814,2015,1,2,No,
825574,39,3,2015-01-02 23:20:00,2015-01-02,23:20:00,23,201539000505,N 29TH ST / CHALMERS AV,100.0,Homicide - Criminal,21,2015-01,-75.178239,39.99862,2015,1,2,No,
1417038,25,3,2015-01-02 23:42:00,2015-01-02,23:42:00,23,201525000561,3300 BLOCK N 02ND ST,400.0,Aggravated Assault Firearm,18,2015-01,-75.132942,40.000696,2015,1,2,No,
1678893,2,1,2015-01-02 23:58:00,2015-01-02,23:58:00,23,201502000357,6700 BLOCK LORETTO AVE,1500.0,Weapon Violations,2,2015-01,-75.075425,40.04408,2015,1,2,No,
1251912,15,3,2015-01-03 01:01:00,2015-01-03,01:01:00,1,201515000669,4400 BLOCK MARPLE ST,300.0,Robbery Firearm,11,2015-01,-75.032161,40.035593,2015,1,3,No,
185373,25,3,2015-01-03 01:26:00,2015-01-03,01:26:00,1,201525000583,2800 BLOCK N ORKNEY ST,300.0,Robbery Firearm,18,2015-01,-75.13922,39.993961,2015,1,3,No,
425892,12,3,2015-01-03 02:56:00,2015-01-03,02:56:00,2,201512000477,6600 BLOCK GUYER AVE,300.0,Robbery Firearm,9,2015-01,-75.228766,39.918288,2015,1,3,No,
1441682,26,3,2015-01-03 03:09:00,2015-01-03,03:09:00,3,201526000402,0 BLOCK W GIRARD AVE,400.0,Aggravated Assault Firearm,19,2015-01,-75.135946,39.96879,2015,1,3,No,
1441693,26,3,2015-01-03 03:10:00,2015-01-03,03:10:00,3,201526000403,0 BLOCK W GIRARD AVE,400.0,Aggravated Assault Firearm,19,2015-01,-75.135946,39.96879,2015,1,3,No,
1831625,12,3,2015-01-03 09:39:00,2015-01-03,09:39:00,9,201512000507,2300 BLOCK S 63RD ST,300.0,Robbery Firearm,9,2015-01,-75.2297,39.925777,2015,1,3,No,
2055207,22,4,2015-01-03 12:00:00,2015-01-03,12:00:00,12,201522000723,N 23RD ST / CECIL B MOORE AV,300.0,Robbery Firearm,16,2015-01,-75.172506,39.980601,2015,1,3,No,
1979573,19,3,2015-01-03 14:16:00,2015-01-03,14:16:00,14,201519000725,5400 BLOCK LANCASTER AVE,300.0,Robbery Firearm,15,2015-01,-75.230305,39.978817,2015,1,3,No,
1957361,18,2,2015-01-03 15:17:00,2015-01-03,15:17:00,15,201518000589,5200 BLOCK LOCUST ST,300.0,Robbery Firearm,14,2015-01,-75.226153,39.955915,2015,1,3,No,
360589,39,2,2015-01-03 18:44:00,2015-01-03,18:44:00,18,201539000652,1900 BLOCK W ALLEGHENY AVE,300.0,Robbery Firearm,21,2015-01,-75.161729,40.002792,2015,1,3,No,
825585,18,2,2015-01-03 19:10:00,2015-01-03,19:10:00,19,201518000620,5400 BLOCK DELANCEY ST,100.0,Homicide - Criminal,14,2015-01,-75.230548,39.954561,2015,1,3,No,
185384,25,1,2015-01-03 19:57:00,2015-01-03,19:57:00,19,201525000744,700 BLOCK W BUTLER,300.0,Robbery Firearm,18,2015-01,-75.140929,40.009511,2015,1,3,No,
1184316,12,1,2015-01-03 21:16:00,2015-01-03,21:16:00,21,201512000635,7700 BLOCK BUIST AVE,300.0,Robbery Firearm,9,2015-01,-75.246267,39.907407,2015,1,3,No,
1815744,16,1,2015-01-03 21:19:00,2015-01-03,21:19:00,21,201516000390,3200 BLOCK BARING ST,300.0,Robbery Firearm,12,2015-01,-75.18826,39.961727,2015,1,3,Yes,Drexel University
1957372,18,3,2015-01-03 21:30:00,2015-01-03,21:30:00,21,201518000643,400 BLOCK S 45TH ST,300.0,Robbery Firearm,14,2015-01,-75.212455,39.951805,2015,1,3,Yes,University of Pennsylvania
218868,39,2,2015-01-03 21:42:00,2015-01-03,21:42:00,21,201539000701,1900 BLOCK W VENANGO ST,300.0,Robbery Firearm,21,2015-01,-75.159874,40.008695,2015,1,3,No,
1859942,16,1,2015-01-03 21:42:00,2015-01-03,21:42:00,21,201516000392,0 BLOCK WIOTA ST,300.0,Robbery Firearm,12,2015-01,-75.202677,39.958585,2015,1,3,No,
80795,14,4,2015-01-03 21:43:00,2015-01-03,21:43:00,21,201514000630,1500 BLOCK WADSWORTH AVE,300.0,Robbery Firearm,10,2015-01,-75.172901,40.08025,2015,1,3,No,
1439192,12,4,2015-01-04 01:25:00,2015-01-04,01:25:00,1,201512000674,5400 BLOCK BEAUMONT ST,1500.0,Weapon Violations,9,2015-01,-75.227111,39.942086,2015,1,4,No,
825597,25,1,2015-01-04 03:40:00,2015-01-04,03:40:00,3,201525000857,3700 BLOCK N DELHI ST,100.0,Homicide - Criminal,18,2015-01,-75.143841,40.008341,2015,1,4,No,
80917,15,2,2015-01-04 04:41:00,2015-01-04,04:41:00,4,201515001013,6000 BLOCK HARBISON AVE,300.0,Robbery Firearm,11,2015-01,-75.063096,40.02204,2015,1,4,No,
1957383,18,1,2015-01-04 06:51:00,2015-01-04,06:51:00,6,201518000700,5700 BLOCK CHESTNUT ST,300.0,Robbery Firearm,14,2015-01,-75.23519,39.95972,2015,1,4,No,
2025128,19,2,2015-01-04 11:58:00,2015-01-04,11:58:00,11,201519000959,1300 BLOCK N 60TH ST,300.0,Robbery Firearm,15,2015-01,-75.239462,39.971518,2015,1,4,No,
1815755,16,2,2015-01-04 13:02:00,2015-01-04,13:02:00,13,201516000471,4000 BLOCK LANCASTER AVE,300.0,Robbery Firearm,12,2015-01,-75.203642,39.963903,2015,1,4,No,
1908305,12,3,2015-01-04 13:02:00,2015-01-04,13:02:00,13,201512000762,6400 BLOCK CHELWYNDE AVE,400.0,Aggravated Assault Firearm,9,2015-01,-75.227892,39.920294,2015,1,4,No,
1825709,2,1,2015-01-04 13:35:00,2015-01-04,13:35:00,13,201502000611,5800 BLOCK CASTOR AVE,300.0,Robbery Firearm,2,2015-01,-75.084037,40.032433,2015,1,4,No,
202202,35,2,2015-01-04 15:30:00,2015-01-04,15:30:00,15,201535000940,4500 BLOCK N BROAD ST,300.0,Robbery Firearm,20,2015-01,-75.148491,40.021593,2015,1,4,No,
2025139,19,3,2015-01-04 15:55:00,2015-01-04,15:55:00,15,201519000992,1500 BLOCK N 52ND ST,300.0,Robbery Firearm,15,2015-01,-75.225859,39.978568,2015,1,4,No,
185395,25,3,2015-01-04 19:00:00,2015-01-04,19:00:00,19,201525000999,3200 BLOCK HOPE ST,300.0,Robbery Firearm,18,2015-01,-75.129702,39.999334,2015,1,4,No,
1184327,12,4,2015-01-04 19:11:00,2015-01-04,19:11:00,19,201512000854,1100 BLOCK S FRAZIER ST,300.0,Robbery Firearm,9,2015-01,-75.234502,39.943996,2015,1,4,No,
1587167,2,2,2015-01-04 19:16:00,2015-01-04,19:16:00,19,201502000668,6400 BLOCK PALMETTO ST,400.0,Aggravated Assault Firearm,2,2015-01,-75.093567,40.050257,2015,1,4,No,
51602,24,1,2015-01-04 20:05:00,2015-01-04,20:05:00,20,201524001146,1500 BLOCK E LYCOMING ST,300.0,Robbery Firearm,17,2015-01,-75.097135,40.008544,2015,1,4,No,
487076,24,3,2015-01-04 20:56:00,2015-01-04,20:56:00,20,201524001187,2300 BLOCK E ANN ST,400.0,Aggravated Assault Firearm,17,2015-01,-75.112155,39.986812,2015,1,4,No,
185407,25,3,2015-01-04 22:08:00,2015-01-04,22:08:00,22,201525001056,2700 BLOCK N ORKNEY ST,300.0,Robbery Firearm,18,2015-01,-75.139745,39.992087,2015,1,4,No,
1229967,3,3,2015-01-05 00:53:00,2015-01-05,00:53:00,0,201503000929,700 BLOCK WOLF ST,300.0,Robbery Firearm,3,2015-01,-75.158752,39.920373,2015,1,5,No,
117242,25,3,2015-01-05 01:13:00,2015-01-05,01:13:00,1,201525001110,3400 BLOCK KIP ST,300.0,Robbery Firearm,18,2015-01,-75.125323,40.001308,2015,1,5,No,
1247125,24,3,2015-01-05 06:27:00,2015-01-05,06:27:00,6,201524001255,3400 BLOCK ARAMINGO AVE,400.0,Aggravated Assault Firearm,17,2015-01,-75.101506,39.991005,2015,1,5,No,
1957394,18,2,2015-01-05 07:37:00,2015-01-05,07:37:00,7,201518000857,100 BLOCK S 56TH ST,300.0,Robbery Firearm,14,2015-01,-75.233235,39.959447,2015,1,5,No,
1485895,15,1,2015-01-05 08:43:00,2015-01-05,08:43:00,8,201515001305,5000 BLOCK OXFORD AVE,1500.0,Weapon Violations,11,2015-01,-75.084495,40.022877,2015,1,5,No,
1754209,25,2,2015-01-05 10:13:00,2015-01-05,10:13:00,10,201525001147,4200 BLOCK N FRONT ST,1500.0,Weapon Violations,18,2015-01,-75.126,40.014088,2015,1,5,No,
388757,5,1,2015-01-05 11:45:00,2015-01-05,11:45:00,11,201505000227,5200 BLOCK RIDGE AVE,300.0,Robbery Firearm,4,2015-01,-75.210387,40.019905,2015,1,5,No,
185418,25,4,2015-01-05 13:59:00,2015-01-05,13:59:00,13,201525001191,3500 BLOCK GERMANTOWN AVE,300.0,Robbery Firearm,18,2015-01,-75.149795,40.005889,2015,1,5,Yes,Temple University Medical
1488329,14,1,2015-01-05 15:52:00,2015-01-05,15:52:00,15,201514000994,7000 BLOCK FORREST AVE,1500.0,Weapon Violations,10,2015-01,-75.152224,40.060868,2015,1,5,No,
1908416,12,3,2015-01-05 17:12:00,2015-01-05,17:12:00,17,201512001081,3500 BLOCK S 61ST ST,400.0,Aggravated Assault Firearm,9,2015-01,-75.210675,39.919159,2015,1,5,No,
51613,24,1,2015-01-05 18:09:00,2015-01-05,18:09:00,18,201524001379,1000 BLOCK E HUNTING PARK AVE,300.0,Robbery Firearm,17,2015-01,-75.108073,40.011504,2015,1,5,No,
1251923,15,2,2015-01-05 18:25:00,2015-01-05,18:25:00,18,201515001465,5400 BLOCK N PENN ST,300.0,Robbery Firearm,11,2015-01,-75.077861,40.02632,2015,1,5,No,
192388,26,3,2015-01-05 18:42:00,2015-01-05,18:42:00,18,201526000877,2600 BLOCK POTTER ST,300.0,Robbery Firearm,19,2015-01,-75.126584,39.989709,2015,1,5,Yes,Temple University Medical
51624,24,1,2015-01-05 20:59:00,2015-01-05,20:59:00,21,201524001426,1500 BLOCK E BRISTOL ST,300.0,Robbery Firearm,17,2015-01,-75.097751,40.011796,2015,1,5,No,
165681,15,2,2015-01-05 21:41:00,2015-01-05,21:41:00,21,201515001529,6500 BLOCK E ROOSEVELT BLVD,300.0,Robbery Firearm,11,2015-01,-75.06572,40.03581,2015,1,5,No,
881411,19,2,2015-01-05 22:06:00,2015-01-05,22:06:00,22,201519001462,100 BLOCK N 55TH ST,400.0,Aggravated Assault Firearm,15,2015-01,-75.230523,39.962738,2015,1,5,No,
301692,19,2,2015-01-05 22:18:00,2015-01-05,22:18:00,22,201519001420,400 BLOCK N 62ND ST,300.0,Robbery Firearm,15,2015-01,-75.243229,39.96928,2015,1,5,No,
1493980,15,1,2015-01-05 22:56:00,2015-01-05,22:56:00,22,201515001535,5200 BLOCK MULBERRY ST,1500.0,Weapon Violations,11,2015-01,-75.074959,40.019424,2015,1,5,No,
489119,25,3,2015-01-05 23:23:00,2015-01-05,23:23:00,23,201525001399,3400 BLOCK PALETHORP ST,400.0,Aggravated Assault Firearm,18,2015-01,-75.131676,40.002185,2015,1,5,No,
825608,35,3,2015-01-05 23:38:00,2015-01-05,23:38:00,23,201535001327,6500 BLOCK N 20TH ST,100.0,Homicide - Criminal,20,2015-01,-75.151593,40.053112,2015,1,5,No,
202213,35,2,2015-01-05 23:44:00,2015-01-05,23:44:00,23,201535001323,1300 BLOCK WINDRIM AVE,300.0,Robbery Firearm,20,2015-01,-75.144286,40.030764,2015,1,5,No,
222994,25,4,2015-01-06 00:18:00,2015-01-06,00:18:00,0,201525001406,3400 BLOCK N 08TH ST,1500.0,Weapon Violations,18,2015-01,-75.142824,40.00349,2015,1,6,No,
202224,35,2,2015-01-06 00:50:00,2015-01-06,00:50:00,0,201535001329,5200 BLOCK OLD YORK RD,300.0,Robbery Firearm,20,2015-01,-75.145713,40.032191,2015,1,6,No,
291314,35,2,2015-01-06 04:33:00,2015-01-06,04:33:00,4,201535001353,4700 BLOCK N 10TH ST,400.0,Aggravated Assault Firearm,20,2015-01,-75.140699,40.024737,2015,1,6,No,
291325,35,2,2015-01-06 05:14:00,2015-01-06,05:14:00,5,201535001355,4700 BLOCK N 10TH ST,400.0,Aggravated Assault Firearm,20,2015-01,-75.140699,40.024737,2015,1,6,No,
185429,25,3,2015-01-06 06:45:00,2015-01-06,06:45:00,6,201525001429,3200 BLOCK N LEE ST,300.0,Robbery Firearm,18,2015-01,-75.128679,39.998484,2015,1,6,No,
1359997,2,1,2015-01-06 08:20:00,2015-01-06,08:20:00,8,201502000958,5700 BLOCK LANGDON ST,1500.0,Weapon Violations,2,2015-01,-75.092304,40.03437,2015,1,6,No,
1405545,12,3,2015-01-06 10:00:00,2015-01-06,10:00:00,10,201512001246,2400 BLOCK S 67TH ST,1500.0,Weapon Violations,9,2015-01,-75.23417,39.921546,2015,1,6,No,
1251934,15,1,2015-01-06 13:09:00,2015-01-06,13:09:00,13,201515001715,4500 BLOCK FRANKFORD AVE,300.0,Robbery Firearm,11,2015-01,-75.086381,40.013919,2015,1,6,No,
1771616,39,3,2015-01-06 13:22:00,2015-01-06,13:22:00,13,201539001308,2200 BLOCK W CAMBRIA ST,1500.0,Weapon Violations,21,2015-01,-75.167877,39.998786,2015,1,6,No,
1945920,2,2,2015-01-06 14:09:00,2015-01-06,14:09:00,14,201502001020,5900 BLOCK RISING SUN AVE,300.0,Robbery Firearm,2,2015-01,-75.102236,40.044244,2015,1,6,No,
457775,17,1,2015-01-06 14:30:00,2015-01-06,14:30:00,14,201517000638,1800 BLOCK WASHINGTON AVE,300.0,Robbery Firearm,13,2015-01,-75.173183,39.938695,2015,1,6,No,
797977,35,3,2015-01-06 14:42:00,2015-01-06,14:42:00,14,201535001439,5600 BLOCK N BROAD ST,300.0,Robbery Firearm,20,2015-01,-75.144767,40.039256,2015,1,6,No,
771463,39,3,2015-01-06 16:46:00,2015-01-06,16:46:00,16,201539001335,N 27TH ST / W ALLEGHENY AV,400.0,Aggravated Assault Firearm,21,2015-01,-75.173835,40.004297,2015,1,6,No,
449512,15,2,2015-01-06 18:04:00,2015-01-06,18:04:00,18,201515001785,4000 BLOCK CRESTON ST,300.0,Robbery Firearm,11,2015-01,-75.064361,40.024377,2015,1,6,No,
1859953,16,1,2015-01-06 19:12:00,2015-01-06,19:12:00,19,201516000797,3900 BLOCK BROWN ST 1,300.0,Robbery Firearm,12,2015-01,-75.202554,39.967502,2015,1,6,No,
1251945,15,1,2015-01-06 19:30:00,2015-01-06,19:30:00,19,201515001805,4900 BLOCK FRANKFORD AVE,300.0,Robbery Firearm,11,2015-01,-75.081259,40.019479,2015,1,6,No,
1108038,22,1,2015-01-06 19:40:00,2015-01-06,19:40:00,19,201522001689,2300 BLOCK N COLORADO ST,400.0,Aggravated Assault Firearm,16,2015-01,-75.161293,39.988626,2015,1,6,No,
1831692,14,4,2015-01-06 19:46:00,2015-01-06,19:46:00,19,201514001281,8100 BLOCK STENTON AVE,300.0,Robbery Firearm,10,2015-01,-75.177999,40.066798,2015,1,6,No,
223006,25,4,2015-01-06 19:59:00,2015-01-06,19:59:00,20,201525001578,3100 BLOCK N PARK AVE,1500.0,Weapon Violations,18,2015-01,-75.15202,39.999851,2015,1,6,No,
1439203,12,3,2015-01-06 20:48:00,2015-01-06,20:48:00,20,201512001390,6700 BLOCK DICKS AVE,1500.0,Weapon Violations,9,2015-01,-75.230076,39.918013,2015,1,6,No,
800965,35,1,2015-01-06 20:54:00,2015-01-06,20:54:00,20,201535001526,600 BLOCK CHEW AVE,300.0,Robbery Firearm,20,2015-01,-75.132167,40.038208,2015,1,6,No,
1815766,16,2,2015-01-06 23:43:00,2015-01-06,23:43:00,23,201516000834,800 BLOCK WIOTA ST,300.0,Robbery Firearm,12,2015-01,-75.203868,39.968424,2015,1,6,No,
192400,26,2,2015-01-07 00:45:00,2015-01-07,00:45:00,0,201526001076,1700 BLOCK N 06TH ST,300.0,Robbery Firearm,19,2015-01,-75.145339,39.977131,2015,1,7,No,
523148,25,4,2015-01-07 01:29:00,2015-01-07,01:29:00,1,201525001619,3400 BLOCK N BROAD ST,1500.0,Weapon Violations,18,2015-01,-75.152174,40.004737,2015,1,7,Yes,Temple University Medical
1405322,8,3,2015-01-07 09:41:00,2015-01-07,09:41:00,9,201508000839,11000 BLOCK KNIGHTS RD,1500.0,Weapon Violations,7,2015-01,-74.976286,40.081409,2015,1,7,No,
457640,14,4,2015-01-07 10:36:00,2015-01-07,10:36:00,10,201514001381,1600 BLOCK WADSWORTH AVE,300.0,Robbery Firearm,10,2015-01,-75.171921,40.08115,2015,1,7,No,
1754231,25,2,2015-01-07 11:29:00,2015-01-07,11:29:00,11,201525001693,151 W LUZERNE ST,1500.0,Weapon Violations,18,2015-01,-75.130461,40.01136,2015,1,7,No,
825619,12,3,2015-01-07 14:01:00,2015-01-07,14:01:00,14,201512001566,6100 BLOCK GLENMORE AVE,100.0,Homicide - Criminal,9,2015-01,-75.228209,39.926434,2015,1,7,No,
1852956,14,1,2015-01-07 15:07:00,2015-01-07,15:07:00,15,201514001430,6000 BLOCK E WISTER ST,300.0,Robbery Firearm,10,2015-01,-75.158251,40.045469,2015,1,7,No,
1852968,14,3,2015-01-07 16:20:00,2015-01-07,16:20:00,16,201514001440,100 BLOCK W CLIVEDEN ST,300.0,Robbery Firearm,10,2015-01,-75.18547,40.044338,2015,1,7,No,
1587279,2,2,2015-01-07 18:04:00,2015-01-07,18:04:00,18,201502001240,6500 BLOCK RISING SUN AVE,400.0,Aggravated Assault Firearm,2,2015-01,-75.093504,40.051694,2015,1,7,No,
185886,25,2,2015-01-07 18:16:00,2015-01-07,18:16:00,18,201525001793,400 BLOCK W MENTOR ST,300.0,Robbery Firearm,18,2015-01,-75.131583,40.022982,2015,1,7,No,
366693,35,3,2015-01-07 18:18:00,2015-01-07,18:18:00,18,201535001722,1500 BLOCK W KINSDALE ST,1500.0,Weapon Violations,20,2015-01,-75.143038,40.054754,2015,1,7,No,
1417049,25,1,2015-01-07 21:20:00,2015-01-07,21:20:00,21,201525001825,500 BLOCK W BUTLER ST,400.0,Aggravated Assault Firearm,18,2015-01,-75.137657,40.009156,2015,1,7,No,
185897,25,4,2015-01-07 21:32:00,2015-01-07,21:32:00,21,201525001822,3000 BLOCK N FRANKLIN ST,300.0,Robbery Firearm,18,2015-01,-75.143512,39.997271,2015,1,7,No,
